,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
470,"Then, Aaron and Amber were working at the house. Aaron decided to give a drink to","Then, Aaron and Amber were working at the house. Tiffany decided to give a drink to","Then, Aaron and Amber were working at the house. Amber decided to give a drink to",47764,26757
184,"Then, Nathan and Amber were working at the house. Nathan decided to give a necklace to","Then, Nathan and Amber were working at the house. Tyler decided to give a necklace to","Then, Nathan and Amber were working at the house. Amber decided to give a necklace to",47764,37837
636,"Then, Kimberly and Lindsay were thinking about going to the restaurant. Lindsay wanted to give a bone to","Then, Kimberly and Lindsay were thinking about going to the restaurant. Timothy wanted to give a bone to","Then, Kimberly and Lindsay were thinking about going to the restaurant. Kimberly wanted to give a bone to",86753,63884
301,"When Gregory and Richard got a kiss at the station, Richard decided to give it to","When Gregory and Richard got a kiss at the station, Megan decided to give it to","When Gregory and Richard got a kiss at the station, Gregory decided to give it to",44069,12131
961,"Then, Jonathan and Steven had a lot of fun at the school. Jonathan gave a kiss to","Then, Jonathan and Steven had a lot of fun at the school. Emily gave a kiss to","Then, Jonathan and Steven had a lot of fun at the school. Steven gave a kiss to",24565,24150
414,"Then, Adam and Anthony had a lot of fun at the office. Adam gave a drink to","Then, Adam and Anthony had a lot of fun at the office. Katie gave a drink to","Then, Adam and Anthony had a lot of fun at the office. Anthony gave a drink to",21353,15387
255,"When Tiffany and Gregory got a kiss at the school, Tiffany decided to give it to","When Tiffany and Gregory got a kiss at the school, Michael decided to give it to","When Tiffany and Gregory got a kiss at the school, Gregory decided to give it to",44069,68573
781,"When Nicole and Stephanie got a computer at the garden, Nicole decided to give it to","When Nicole and Stephanie got a computer at the garden, Justin decided to give it to","When Nicole and Stephanie got a computer at the garden, Stephanie decided to give it to",49243,45130
621,"Then, Richard and Thomas went to the garden. Richard gave a necklace to","Then, Richard and Thomas went to the garden. Rachel gave a necklace to","Then, Richard and Thomas went to the garden. Thomas gave a necklace to",11355,12131
245,"Then, Alexander and Vanessa were working at the house. Vanessa decided to give a drink to","Then, Alexander and Vanessa were working at the house. Christine decided to give a drink to","Then, Alexander and Vanessa were working at the house. Alexander decided to give a drink to",20643,71619
188,"Then, Sean and Daniel had a long argument, and afterwards Sean said to","Then, Sean and Daniel had a long argument, and afterwards Samantha said to","Then, Sean and Daniel had a long argument, and afterwards Daniel said to",15469,26044
91,"Then, Kimberly and William were working at the school. William decided to give a bone to","Then, Kimberly and William were working at the school. Bradley decided to give a bone to","Then, Kimberly and William were working at the school. Kimberly decided to give a bone to",86753,12656
854,"Then, Aaron and Kenneth had a long argument, and afterwards Aaron said to","Then, Aaron and Kenneth had a long argument, and afterwards Crystal said to","Then, Aaron and Kenneth had a long argument, and afterwards Kenneth said to",49498,26757
550,"When Shannon and Scott got a drink at the garden, Shannon decided to give it to","When Shannon and Scott got a drink at the garden, Matthew decided to give it to","When Shannon and Scott got a drink at the garden, Scott decided to give it to",10016,54763
140,"When Nathan and Erin got a necklace at the store, Nathan decided to give it to","When Nathan and Erin got a necklace at the store, Cody decided to give it to","When Nathan and Erin got a necklace at the store, Erin decided to give it to",56914,37837
978,"After Mary and Cody went to the house, Cody gave a computer to","After Mary and Cody went to the house, Sarah gave a computer to","After Mary and Cody went to the house, Mary gave a computer to",10455,58382
78,"Then, Allison and Lauren went to the restaurant. Lauren gave a basketball to","Then, Allison and Lauren went to the restaurant. Jonathan gave a basketball to","Then, Allison and Lauren went to the restaurant. Allison gave a basketball to",63508,43460
536,"When James and Samantha got a basketball at the store, Samantha decided to give it to","When James and Samantha got a basketball at the store, Crystal decided to give it to","When James and Samantha got a basketball at the store, James decided to give it to",7957,63908
821,"After John and Amber went to the store, Amber gave a computer to","After John and Amber went to the store, Christina gave a computer to","After John and Amber went to the store, John gave a computer to",3842,47764
135,"Then, Christopher and Lindsey were thinking about going to the hospital. Christopher wanted to give a snack to","Then, Christopher and Lindsey were thinking about going to the hospital. Katherine wanted to give a snack to","Then, Christopher and Lindsey were thinking about going to the hospital. Lindsey wanted to give a snack to",65379,26035
606,"Then, Lisa and Laura went to the restaurant. Lisa gave a kiss to","Then, Lisa and Laura went to the restaurant. Rachel gave a kiss to","Then, Lisa and Laura went to the restaurant. Laura gave a kiss to",30928,29656
698,"After Timothy and Jeremy went to the garden, Jeremy gave a snack to","After Timothy and Jeremy went to the garden, Christina gave a snack to","After Timothy and Jeremy went to the garden, Timothy gave a snack to",45568,28217
848,"After Brandon and Courtney went to the hospital, Courtney gave a computer to","After Brandon and Courtney went to the hospital, Jamie gave a computer to","After Brandon and Courtney went to the hospital, Brandon gave a computer to",32866,71782
988,"Then, Nicole and Megan had a lot of fun at the station. Nicole gave a drink to","Then, Nicole and Megan had a lot of fun at the station. Danielle gave a drink to","Then, Nicole and Megan had a lot of fun at the station. Megan gave a drink to",55629,45130
876,"Then, Heather and Thomas went to the store. Thomas gave a drink to","Then, Heather and Thomas went to the store. Sarah gave a drink to","Then, Heather and Thomas went to the store. Heather gave a drink to",47363,11355
281,"After Courtney and Paul went to the school, Paul gave a bone to","After Courtney and Paul went to the school, Mary gave a bone to","After Courtney and Paul went to the school, Courtney gave a bone to",71782,7043
341,"Then, Sean and Nicole went to the school. Sean gave a drink to","Then, Sean and Nicole went to the school. Scott gave a drink to","Then, Sean and Nicole went to the school. Nicole gave a drink to",45130,26044
440,"Then, Robert and Matthew were working at the restaurant. Matthew decided to give a ring to","Then, Robert and Matthew were working at the restaurant. Charles decided to give a ring to","Then, Robert and Matthew were working at the restaurant. Robert decided to give a ring to",8563,19475
501,"Then, Alexander and Ryan were thinking about going to the school. Alexander wanted to give a basketball to","Then, Alexander and Ryan were thinking about going to the school. Angela wanted to give a basketball to","Then, Alexander and Ryan were thinking about going to the school. Ryan wanted to give a basketball to",13960,20643
899,"When Kenneth and Benjamin got a basketball at the station, Kenneth decided to give it to","When Kenneth and Benjamin got a basketball at the station, Megan decided to give it to","When Kenneth and Benjamin got a basketball at the station, Benjamin decided to give it to",30411,49498
792,"Then, Jennifer and Jose had a lot of fun at the garden. Jennifer gave a basketball to","Then, Jennifer and Jose had a lot of fun at the garden. Christine gave a basketball to","Then, Jennifer and Jose had a lot of fun at the garden. Jose gave a basketball to",11097,30750
498,"Then, Bryan and Erin had a long argument, and afterwards Bryan said to","Then, Bryan and Erin had a long argument, and afterwards Timothy said to","Then, Bryan and Erin had a long argument, and afterwards Erin said to",56914,37453
628,"When Katherine and Travis got a drink at the station, Katherine decided to give it to","When Katherine and Travis got a drink at the station, David decided to give it to","When Katherine and Travis got a drink at the station, Travis decided to give it to",41810,62426
983,"After James and Robert went to the restaurant, James gave a ring to","After James and Robert went to the restaurant, Kyle gave a ring to","After James and Robert went to the restaurant, Robert gave a ring to",8563,7957
881,"After Benjamin and Dustin went to the restaurant, Dustin gave a computer to","After Benjamin and Dustin went to the restaurant, Stephen gave a computer to","After Benjamin and Dustin went to the restaurant, Benjamin gave a computer to",30411,79418
723,"Then, Michael and Alexander were thinking about going to the station. Alexander wanted to give a computer to","Then, Michael and Alexander were thinking about going to the station. Brandon wanted to give a computer to","Then, Michael and Alexander were thinking about going to the station. Michael wanted to give a computer to",8096,20643
936,"Then, Anthony and Christina had a lot of fun at the school. Anthony gave a necklace to","Then, Anthony and Christina had a lot of fun at the school. Adam gave a necklace to","Then, Anthony and Christina had a lot of fun at the school. Christina gave a necklace to",60771,21353
880,"Then, Andrea and Brandon had a lot of fun at the store. Brandon gave a snack to","Then, Andrea and Brandon had a lot of fun at the store. Adam gave a snack to","Then, Andrea and Brandon had a lot of fun at the store. Andrea gave a snack to",41184,32866
659,"Then, Heather and Brittany had a long argument, and afterwards Heather said to","Then, Heather and Brittany had a long argument, and afterwards Timothy said to","Then, Heather and Brittany had a long argument, and afterwards Brittany said to",89254,47363
518,"Then, Anthony and Eric had a lot of fun at the house. Eric gave a drink to","Then, Anthony and Eric had a lot of fun at the house. Mary gave a drink to","Then, Anthony and Eric had a lot of fun at the house. Anthony gave a drink to",21353,16645
11,"When Jesse and Charles got a snack at the office, Jesse decided to give it to","When Jesse and Charles got a snack at the office, Tyler decided to give it to","When Jesse and Charles got a snack at the office, Charles decided to give it to",15274,40271
433,"When Laura and Alexander got a kiss at the office, Alexander decided to give it to","When Laura and Alexander got a kiss at the office, Jennifer decided to give it to","When Laura and Alexander got a kiss at the office, Laura decided to give it to",30928,20643
643,"Then, Michael and Brandon were working at the garden. Brandon decided to give a computer to","Then, Michael and Brandon were working at the garden. Jose decided to give a computer to","Then, Michael and Brandon were working at the garden. Michael decided to give a computer to",8096,32866
