clean,corrupted,label
The contract lasted from the year 1352 to the year 13,The contract lasted from the year 1301 to the year 13,52
The plan lasted from the year 1642 to the year 16,The plan lasted from the year 1601 to the year 16,42
The plan lasted from the year 1457 to the year 14,The plan lasted from the year 1401 to the year 14,57
The marriage lasted from the year 1783 to the year 17,The marriage lasted from the year 1701 to the year 17,83
The campaign lasted from the year 1388 to the year 13,The campaign lasted from the year 1301 to the year 13,88
The progress lasted from the year 1491 to the year 14,The progress lasted from the year 1401 to the year 14,91
The study lasted from the year 1727 to the year 17,The study lasted from the year 1701 to the year 17,27
The case lasted from the year 1655 to the year 16,The case lasted from the year 1601 to the year 16,55
The fall lasted from the year 1375 to the year 13,The fall lasted from the year 1301 to the year 13,75
The progress lasted from the year 1535 to the year 15,The progress lasted from the year 1501 to the year 15,35
The development lasted from the year 1443 to the year 14,The development lasted from the year 1401 to the year 14,43
The contact lasted from the year 1613 to the year 16,The contact lasted from the year 1601 to the year 16,13
The contract lasted from the year 1546 to the year 15,The contract lasted from the year 1501 to the year 15,46
The trial lasted from the year 1228 to the year 12,The trial lasted from the year 1201 to the year 12,28
The test lasted from the year 1624 to the year 16,The test lasted from the year 1601 to the year 16,24
The trip lasted from the year 1282 to the year 12,The trip lasted from the year 1201 to the year 12,82
The attack lasted from the year 1228 to the year 12,The attack lasted from the year 1201 to the year 12,28
The marriage lasted from the year 1763 to the year 17,The marriage lasted from the year 1701 to the year 17,63
The effect lasted from the year 1604 to the year 16,The effect lasted from the year 1601 to the year 16,4
The growth lasted from the year 1134 to the year 11,The growth lasted from the year 1101 to the year 11,34
The impact lasted from the year 1205 to the year 12,The impact lasted from the year 1201 to the year 12,5
The impact lasted from the year 1751 to the year 17,The impact lasted from the year 1701 to the year 17,51
The order lasted from the year 1662 to the year 16,The order lasted from the year 1601 to the year 16,62
The attack lasted from the year 1322 to the year 13,The attack lasted from the year 1301 to the year 13,22
The contact lasted from the year 1365 to the year 13,The contact lasted from the year 1301 to the year 13,65
The program lasted from the year 1438 to the year 14,The program lasted from the year 1401 to the year 14,38
The deal lasted from the year 1330 to the year 13,The deal lasted from the year 1301 to the year 13,30
